sku;family;resources;name;localized_attributedata.da-DK.short-description;localized_attributedata.da-DK.name;attributedata.related-products;attributedata.badges;attributedata.tags;attributedata.erp-ext-salesprice1;attributedata.erp-group;attributedata.mulig-beholdning;attributedata.sortorder
86348;rockford-fosgate;"{
  ""id"": ""41570e10-1dca-4d29-acfe-7088f89baffb"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/41570e10-1dca-4d29-acfe-7088f89baffb/86348_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/41570e10-1dca-4d29-acfe-7088f89baffb/86348_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/41570e10-1dca-4d29-acfe-7088f89baffb/86348_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";"RF P132 coaxial 3"" højttalersæt 2-vejs";Rockford Fosgate P132 / 8,8 cm (3”) Coaxial / 20/40 Watts RMS/MAX. / SPL 85 dB / 120 Hz - 22 kHz / ‡ 35 mm / Ø 81 mm;RF P132;;;;539;ICE-RF-hjt;;
86358;rockford-fosgate;"{
  ""id"": ""b172477c-1b3c-426b-9489-0d683efee007"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/b172477c-1b3c-426b-9489-0d683efee007/86358_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/b172477c-1b3c-426b-9489-0d683efee007/86358_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/b172477c-1b3c-426b-9489-0d683efee007/86358_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P1683;"Rockford Fosgate P1683 / 6 x 8"" Triaxial / 65/130 Watts RMS/MAX. / SPL 90 dB / 65 Hz - 24 kHz / ‡ 58 mm / Ø 130 x 189 mm";RF P1683;;;;859;ICE-RF-hjt;;
86361;rockford-fosgate;"{
  ""id"": ""26451e89-e44c-4a33-af0e-c0cc58a7b9a2"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/26451e89-e44c-4a33-af0e-c0cc58a7b9a2/86361_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/26451e89-e44c-4a33-af0e-c0cc58a7b9a2/86361_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/26451e89-e44c-4a33-af0e-c0cc58a7b9a2/86361_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
},{
  ""id"": ""65490ed1-ac33-4ad3-b660-45560d357dac"",
  ""type"": ""image"",
  ""primary"": false,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/65490ed1-ac33-4ad3-b660-45560d357dac/86361_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/65490ed1-ac33-4ad3-b660-45560d357dac/86361_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/65490ed1-ac33-4ad3-b660-45560d357dac/86361_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";"RF P1694 coaxial 6x9"" højt.sæt 4-vejs";"Rockford Fosgate P1694 / 6 x 9"" Quadaxial / 75/150 Watts RMS/MAX. / SPL 91 dB / 60 Hz - 24 kHz / ‡ 78 mm / Ø 152 x 229 mm";RF P1694;;;;1079;ICE-RF-hjt;;
86395;rockford-fosgate;"{
  ""id"": ""bed109ea-9674-49b6-89e1-fb997004d988"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/bed109ea-9674-49b6-89e1-fb997004d988/86395_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/bed109ea-9674-49b6-89e1-fb997004d988/86395_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/bed109ea-9674-49b6-89e1-fb997004d988/86395_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T142 Power Full-Range højt.sæt;Rockford Fosgate T142 / 10 cm (4”) Coaxial / 40/80 Watts RMS/MAX. / SPL 86 dB / 85 Hz - 22 kHz / ‡ 45 mm / Ø 103 mm;RF T142;;;;749;ICE-RF-hjt;;
86437;rockford-fosgate;"{
  ""id"": ""be4bd37f-a694-49fb-be21-2ae9ec35a3e7"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/be4bd37f-a694-49fb-be21-2ae9ec35a3e7/86437_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/be4bd37f-a694-49fb-be21-2ae9ec35a3e7/86437_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/be4bd37f-a694-49fb-be21-2ae9ec35a3e7/86437_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T4652-S;Rockford Fosgate T4652-S / 16,5 cm (6.5”) Component System / 150/300 Watts RMS/MAX. / SPL 89 dB / 40 Hz - 30 kHz / ‡ 71 mm / Ø 144 mm;RF T4652-S;;;;8149;ICE-RF-hjt;;
86456;rockford-fosgate;"{
  ""id"": ""41772980-72c7-4cfc-88fd-9db25cdf0fdf"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/41772980-72c7-4cfc-88fd-9db25cdf0fdf/86456_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/41772980-72c7-4cfc-88fd-9db25cdf0fdf/86456_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/41772980-72c7-4cfc-88fd-9db25cdf0fdf/86456_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T1S652;Rockford Fosgate T1S652 SLIM / 16,5 cm (6.5”) Coaxial / 70/140 Watts RMS/MAX. / SPL 87,5 dB / 65 Hz - 22 kHz / ‡ 49 mm / Ø 128 mm;RF T1S652;;;;1179;ICE-RF-hjt;;
86460;rockford-fosgate;"{
  ""id"": ""9f3984b4-7fba-461b-9c31-02d6e095cc61"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/9f3984b4-7fba-461b-9c31-02d6e095cc61/86460_large.png"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/9f3984b4-7fba-461b-9c31-02d6e095cc61/86460_small.png"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/9f3984b4-7fba-461b-9c31-02d6e095cc61/86460_default.png"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P1692;"Rockford Fosgate P1692 / 6 x 9"" Coaxial / 75/150 Watts RMS/MAX. / SPL 91 dB / 60 Hz - 22 kHz / ‡ 78 mm / Ø 152 x 229 mm";RF P1692;;;;1079;ICE-RF-hjt;;
86511;rockford-fosgate;"{
  ""id"": ""82ecdea8-e7de-4583-b885-0600248ff3cb"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/82ecdea8-e7de-4583-b885-0600248ff3cb/86511_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/82ecdea8-e7de-4583-b885-0600248ff3cb/86511_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/82ecdea8-e7de-4583-b885-0600248ff3cb/86511_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T1D212;Rockford Fosgate T1D212 / 30 cm (12”) Subwoofer / 800/1600 Watts RMS/MAX. / 2 + 2 Ω / SPL 86 dB / ‡ 171 mm / Ø 286 mm;RF T1D212;;;;4399;ICE-RF-hjt;;
86515;rockford-fosgate;"{
  ""id"": ""82ecdea8-e7de-4583-b885-0600248ff3cb"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/82ecdea8-e7de-4583-b885-0600248ff3cb/86511_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/82ecdea8-e7de-4583-b885-0600248ff3cb/86511_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/82ecdea8-e7de-4583-b885-0600248ff3cb/86511_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";"RF T1D412 Power DVC woofer 12""";Rockford Fosgate T1D412 / 30 cm (12”) Subwoofer / 800/1600 Watts RMS/MAX. / 4 + 4 Ω / SPL 86 dB / ‡ 171 mm / Ø 286 mm;RF T1D412;;;;4399;ICE-RF-hjt;;
86522;rockford-fosgate;"{
  ""id"": ""c1398b4d-6743-490e-a5f1-eaf81296a8d5"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/c1398b4d-6743-490e-a5f1-eaf81296a8d5/86522_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/c1398b4d-6743-490e-a5f1-eaf81296a8d5/86522_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/c1398b4d-6743-490e-a5f1-eaf81296a8d5/86522_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T1S1-12;Rockford Fosgate T1S1-12 / 30 cm (12”) Subwoofer / 600/1200 Watts RMS/MAX. / 1 Ω / SPL 84 dB / ‡ 76,5 mm / Ø 285 mm;RF T1S1-12;;;;4929;ICE-RF-hjt;;
86541;rockford-fosgate;"{
  ""id"": ""104a83c1-3e35-4c82-8b60-1dc40f15efdd"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/104a83c1-3e35-4c82-8b60-1dc40f15efdd/86541_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/104a83c1-3e35-4c82-8b60-1dc40f15efdd/86541_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/104a83c1-3e35-4c82-8b60-1dc40f15efdd/86541_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P3SD2-8;Rockford Fosgate P3SD2-8 / 20 cm (8”) Subwoofer / 150/300 Watts RMS/MAX. / 2 + 2 Ω / SPL 82 dB / ‡ 68 mm / Ø 181 mm;RF P3SD2-8;;;;1499;ICE-RF-hjt;;
86580;rockford-fosgate;"{
  ""id"": ""1846b244-1f05-403f-b7ca-58a01cdde9f6"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/1846b244-1f05-403f-b7ca-58a01cdde9f6/86580_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/1846b244-1f05-403f-b7ca-58a01cdde9f6/86580_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/1846b244-1f05-403f-b7ca-58a01cdde9f6/86580_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P1S4-10;Rockford Fosgate P1S4-10 / 25 cm (10”) Subwoofer / 250/500 Watts RMS/MAX. / 4 Ω / SPL 85 dB / ‡ 135 mm / Ø 235 mm;RF P1S4-10;;;;969;ICE-RF-hjt;;
86595;rockford-fosgate;"{
  ""id"": ""58fe7c83-ee0a-45c3-a4f8-3d07fad8b6ba"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/58fe7c83-ee0a-45c3-a4f8-3d07fad8b6ba/86595_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/58fe7c83-ee0a-45c3-a4f8-3d07fad8b6ba/86595_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/58fe7c83-ee0a-45c3-a4f8-3d07fad8b6ba/86595_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF P2D4-10 DVC woofer 4 ohm;Rockford Fosgate P2D4-10 / 25 cm (10”) Subwoofer / 300/600 Watts RMS/MAX. / 4 + 4 Ω / SPL 83 dB / ‡ 121 mm / Ø 181 mm;RF P2D4-10;;;;1289;ICE-RF-hjt;;
86697;rockford-fosgate;"{
  ""id"": ""3a703c35-8663-429a-aa28-6f051f7eac37"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/3a703c35-8663-429a-aa28-6f051f7eac37/86697_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/3a703c35-8663-429a-aa28-6f051f7eac37/86697_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/3a703c35-8663-429a-aa28-6f051f7eac37/86697_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T2S1-16;"40 cm (16"") Subwoofer";RF T2S1-16;;;;13929;ICE-RF-hjt;;
86698;rockford-fosgate;"{
  ""id"": ""3a703c35-8663-429a-aa28-6f051f7eac37"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/3a703c35-8663-429a-aa28-6f051f7eac37/86697_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/3a703c35-8663-429a-aa28-6f051f7eac37/86697_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/3a703c35-8663-429a-aa28-6f051f7eac37/86697_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF T2S2-16;"40 cm (16"") Subwoofer";RF T2S2-16;;;;13929;ICE-RF-hjt;;
86724;rockford-fosgate;"{
  ""id"": ""46a3c382-4b40-4b76-b011-ccec1688d0f6"",
  ""type"": ""image"",
  ""primary"": true,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/46a3c382-4b40-4b76-b011-ccec1688d0f6/rfkhd9813_1_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/46a3c382-4b40-4b76-b011-ccec1688d0f6/rfkhd9813_1_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/46a3c382-4b40-4b76-b011-ccec1688d0f6/rfkhd9813_1_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
},{
  ""id"": ""a3208051-5b84-4f67-8522-8df7b9098804"",
  ""type"": ""image"",
  ""primary"": false,
  ""variants"": [
    {
      ""identifier"": ""large"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/a3208051-5b84-4f67-8522-8df7b9098804/rfkhd9813_2_large.jpg"",
      ""width"": 1600,
      ""height"": 1200,
      ""size"": 0
    },
    {
      ""identifier"": ""small"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/a3208051-5b84-4f67-8522-8df7b9098804/rfkhd9813_2_small.jpg"",
      ""width"": 400,
      ""height"": 300,
      ""size"": 0
    },
    {
      ""identifier"": ""default"",
      ""url"": ""https://resources.chainbox.io/3/sec/public/pim/a3208051-5b84-4f67-8522-8df7b9098804/rfkhd9813_2_default.jpg"",
      ""width"": 1024,
      ""height"": 768,
      ""size"": 0
    }
  ]
}";RF RFKHD9813;Rockford Fosgate RFKHD9813 / Forstærker installations-kit til 1998-2013 Harley-Davidson® / FULL spec-kabel - opfylder eller overgår AWG-kravene / 100 % rent krystal-iltfrit kobber (PC-OFC) / Inkl. passende ledningsafslutningshardware / Designet til brug med udvalgte 1998-2013 Harley-Davidson® / Designet til brug med Power Marine TM400X4ad forstærker;RF RFKHD9813;;;;1499;ICE-RF-øvr;;
